"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"pcre2","10.39","BSD-3-Clause","LICENCE","pcre2-10.39.tar.bz2","https://github.com/PhilipHazel/pcre2/releases/download/pcre2-10.39","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"ca-certificates","20211016","GPL-2.0+ (script), MPL-2.0 (data)","debian/copyright","ca-certificates_20211016.tar.xz","https://snapshot.debian.org/archive/debian/20211022T144903Z/pool/main/c/ca-certificates","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"dhcpcd","9.4.1","BSD-2-Clause","LICENSE","dhcpcd-9.4.1.tar.xz","http://roy.marples.name/downloads/dhcpcd","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"expat","2.4.1","MIT","COPYING","expat-2.4.1.tar.xz","http://downloads.sourceforge.net/project/expat/expat/2.4.1","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"freetype","2.11.1","Dual FTL/GPL-2.0+","LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.11.1.tar.xz","http://download.savannah.gnu.org/releases/freetype","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libpng [Libpng-2.0] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"libpng","1.6.37","Libpng-2.0","LICENSE","libpng-1.6.37.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.37","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"jpeg-turbo","2.1.2","IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)","LICENSE.md README.ijg","libjpeg-turbo-2.1.2.tar.gz","https://downloads.sourceforge.net/project/libjpeg-turbo/2.1.2","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"libarchive","3.5.2","BSD-2-Clause, BSD-3-Clause, CC0-1.0, OpenSSL, Apache-2.0","COPYING","libarchive-3.5.2.tar.xz","https://www.libarchive.de/downloads","expat [MIT] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
"libcurl","7.81.0","curl","COPYING","curl-7.81.0.tar.xz","https://curl.se/download","glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"libdrm","2.4.109","MIT","data/meson.build","libdrm-2.4.109.tar.xz","https://dri.freedesktop.org/libdrm","eudev [GPL-2.0+ (programs), LGPL-2.1+ (libraries)] glibc [GPL-2.0+ (programs), LGPL-2.1+, BSD-3-Clause, MIT (library)] kmod [LGPL-2.1+ (library)] libopenssl [OpenSSL or SSLeay] libpthread-stubs [MIT] libzlib [Zlib] linux-headers [GPL-2.0] skeleton-init-common [unknown] skeleton-init-none [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)] xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] zstd [BSD-3-Clause or GPL-2.0]"
